م	Collective File Name	Context	Ambigous
51	000-4 Generalities	ارتفع مؤشرها المركب 18 في المئة في عام 2015.	['ارتفع']
3553	300-4 Social Sciences	«الهلال الأحمر»: معدل البلاغات ارتفع في اليوم العاشر	['ارتفع']
3555	300-4 Social Sciences	ارتفع أيها الصقر إلى أعالي السماء	['ارتفع']
3557	300-4 Social Sciences	ارتفع ضغط دمه وأصيب بجلطة في المخ وسقط في الشارع	['ارتفع']
3559	300-4 Social Sciences	إنفاق الأسر على المشروبات والتبغ ارتفع 12.3%	['ارتفع']
11057	400-2 Language _ A	الأطلال ما ارتفع وما انخفض يكونان جميعا. والمتطنب: الحبال.	['ارتفع']
11335	800-2 Literature & rhetoric _ A	العرب تقول: كان كراعا فصار ذراعا، إذا ارتفع.	['ارتفع']
11609	800-3 Literature & rhetoric _ A	فإذا ارتفع صوت وقعها، قيل: انهلت واستهلت.	['ارتفع']
11831	900-3 Geography & history _ A	هذا وقد ارتفع الطاعون بالديار المصرية، وظهر بالبلاد الشامية.	['ارتفع']
3561	300-4 Social Sciences	استقل طائرة عسكرية لزيارة صديقه!	['استقل']
3563	300-4 Social Sciences	سعداني: استقل يا جنرال توفيق	['استقل']
3565	300-4 Social Sciences	هنية استقل طائرة سورية.. ودحلان على "سعودية" خاصة	['استقل']
53	000-4 Generalities	يغبطك السبع الشـداد دائما ** لأن فيك الحق بالعرش استوى	['استوى']
11675	900-2 Geography & history _ A	المستوى: بوزن اسم الفاعل من استوى يستوي: هو موضع.	['استوى']
3293	200-1 Religion _ A	باب ما يصنع المحرم إذا اشتكى عينيه	['اشتكى']
3567	300-4 Social Sciences	اشتكى زوجته ووالدتها لأنهما حاولتا قتله عن طريق الأكل المسموم	['اشتكى']
3569	300-4 Social Sciences	اشتكى من رائحة قدميه فقتله	['اشتكى']
3571	300-4 Social Sciences	تعبت منك يا زمان والقلب اشتكى	['اشتكى']
11337	800-2 Literature & rhetoric _ A	3480 - التأم جرح والأساة غيب	['التأم']
3573	300-4 Social Sciences	ناكل بعضنا والخطر حولنا التف	['التف']
11059	400-2 Language _ A	التف: وسخ الأظفار، والأف: وسخ الأذن.	['التف']
11061	400-2 Language _ A	وأرسلت الصقر على الصيد فلافه: أي التف عليه.	['التف']
11063	400-2 Language _ A	وشجر متشجن: إذا التف بعضها ببعض.	['التف']
11833	900-3 Geography & history _ A	مع نزاهة التف بكساها، ونباهة ألغى بها نباهة جيله وأنساها.	['التف']
55	000-4 Generalities	صدر القرار بعشرة أصوات. امتنع الاتحاد السوفياتي.	['امتنع']
3393	200-2 Religion _ A	فإن امتنع الجواب، أريد نفوذ البلاء، والتسليم للقضاء.	['امتنع']
3575	300-4 Social Sciences	الملا امتنع عن «التعاون» مع المحمد في استجواب المصروفات	['امتنع']
3577	300-4 Social Sciences	ومن جانبه، امتنع البيت الأبيض عن التعقيب على الانتقادات.	['امتنع']
57	000-4 Generalities	هكذا انبثق نوعان من الحوسبة الإلكترونية: 	['انبثق']
11835	900-3 Geography & history _ A	ولم يزل على حاله إلى أن انبثق نجمه وضمه رجمه.	['انبثق']
3395	200-2 Religion _ A	فقال لمن انقطع به في سفره قد أنبت	['انقطع']
3579	300-4 Social Sciences	انقطع التركي عن عمله وتم فصله	['انقطع']
3581	300-4 Social Sciences	انقطع نفسها خلال محاضرة عن الأوكسجين	['انقطع']
11261	400-3 Language _ A	(ص) ويقولون: أجبل الشاعر، إذا انقطع.	['انقطع']
11339	800-2 Literature & rhetoric _ A	انقطع السلى في البطن: أي فات الأمر.	['انقطع']
11837	900-3 Geography & history _ A	انقطع إلى العبادة وصحب الصوفية، ومات رحمه الله كهلا.	['انقطع']
3583	300-4 Social Sciences	«الإسلامي للتنمية» يعتزم إنشاء 20 شركة إجارة	['إجارة']
3585	300-4 Social Sciences	«بنك الرياض» يستعرض منتج إجارة في معرض العقار والإسكان السابع	['إجارة']
3587	300-4 Social Sciences	سبائك: شركة إجارة فريدة من نوعها	['إجارة']
59	000-4 Generalities	(فيصل.. إجازة ليسانس في الحقوق - مستشار قانوني).	['إجازة']
61	000-4 Generalities	2- إجازة في هندسة الاتصالات والشبكات	['إجازة']
63	000-4 Generalities	استحقاقات إجازة الأبوة الشاملة والمدفوعة الأجر.	['إجازة']
65	000-4 Generalities	إجازة في من المعهد العالي للموسيقى بدمشق 2009- 2010.	['إجازة']
3589	300-4 Social Sciences	«3» أيام إجازة «العيد» ومحمد إبراهيم يتلقى 5 عروض	['إجازة']
3591	300-4 Social Sciences	370ألف زائر لمحافظة عدن خلال إجازة عيد الفطر المبارك	['إجازة']
3593	300-4 Social Sciences	ابتداء من الأسبوع المقبل "البيت بيتك" إجازة	['إجازة']
3595	300-4 Social Sciences	اتفاقية إجازة شهادة خريجي التعليم الفني	['إجازة']
3597	300-4 Social Sciences	استأجرتا من يضربهما للحصول على إجازة	['إجازة']
3599	300-4 Social Sciences	استرخاء الثقافة في الصيف .. إجازة مستحقة أم جمهور هارب؟	['إجازة']
3601	300-4 Social Sciences	الأزهر" يبدأ فى التحضير لوثيقة المرأة بعد إجازة عيد الأضحى	['إجازة']
3603	300-4 Social Sciences	البترول" تتوقع انخفاض الطلب على البنزين بسبب إجازة الانتخابات	['إجازة']
3605	300-4 Social Sciences	التعليم" تقرر إلغاء "إجازة الأسبوع" بكل "ترم" دراسى	['إجازة']
3607	300-4 Social Sciences	الثلوج" في تبوك تجتذب العائلات لقضاء إجازة العيد	['إجازة']
3609	300-4 Social Sciences	الجسمى" يواصل اختيار ألبومه بعد إجازة قصيرة فى لندن	['إجازة']
3611	300-4 Social Sciences	الجنزورى": 25 يناير إجازة رسمية بمناسبة عيد الثورة	['إجازة']
3613	300-4 Social Sciences	الخدمة المدنية: ماضون في تطبيق إجازة السبت	['إجازة']
3615	300-4 Social Sciences	السعودية" تنقل 210470مسافرا خلال إجازة العيد	['إجازة']
3617	300-4 Social Sciences	العدل" تكلف 45 قاضيا خلال إجازة العيد	['إجازة']
3619	300-4 Social Sciences	القاعدة" لم تهددني بالقتل وأنا في إجازة	['إجازة']
3621	300-4 Social Sciences	القضية المسرحية في "إجازة" حتى إشعار آخر	['إجازة']
3623	300-4 Social Sciences	القوى العاملة": وقفة عرفات وأول وثانى أيام العيد إجازة رسمية	['إجازة']
3625	300-4 Social Sciences	انتعاش رحلات الطيران الداخلي مع حلول إجازة المدارس	['إجازة']
3627	300-4 Social Sciences	إجازة "العيد" تنقذ الجبلاية من مأزق مكافآت منتخب الشباب	['إجازة']
3629	300-4 Social Sciences	إحباط 4 عمليات بناء مخالفة في القاهرة خلال إجازة العيد	['إجازة']
3631	300-4 Social Sciences	إيجابية حالة بقنا ومنح تلميذين بالفيوم إجازة إجبارية	['إجازة']
3633	300-4 Social Sciences	بوجلبان" يطلب قضاء إجازة العيد بتونس	['إجازة']
3635	300-4 Social Sciences	تعليم الجيزة" تتحدى وزير التعليم وتلغى إجازة السبت	['إجازة']
11611	800-3 Literature & rhetoric _ A	فاهتز لذلك طربا وبهت له متعجبا ووقع له بالموصل إجازة.	['إجازة']
11839	900-3 Geography & history _ A	إجازة من الصفدي رواية الرسالتين	['إجازة']
67	000-4 Generalities	قد ترتبط وظيفتة الإنزيم الفزيولوجية بعملية إسالة السائل المنوي.	['إسالة']
3637	300-4 Social Sciences	إعلاميون يمنيون يحملون "الجزيرة" مسئولية إسالة الدماء باليمن	['إسالة']
69	000-4 Generalities	14 نوفمبر: إصابة 3 جنود في انفجار قنبلة في عرسال.	['إصابة']
71	000-4 Generalities	2) إصابة أو موت راكبي السيارة.	['إصابة']
73	000-4 Generalities	اتفاقية استحقاق إصابة العمل 1964	['إصابة']
75	000-4 Generalities	الإجهاض الإنتاني هو إصابة للمشيمة والجنين (نتاج التلقيح) بالعدوى.	['إصابة']
77	000-4 Generalities	قفازات اللاتكس المطاطية تسبب إصابة يشيع وجودها بظهر اليد.	['إصابة']
3397	200-2 Religion _ A	فلم عذروا في ترك إصابة مدلولها ؟ .	['إصابة']
3639	300-4 Social Sciences	CNNArabic.com - العراق: إصابة 11 شرطيا بتفجيرين متعاقبين	['إصابة']
3641	300-4 Social Sciences	CNNArabic.com - العراق: إصابة ستة بانفجار استهدف رتلا أمريكيا	['إصابة']
3643	300-4 Social Sciences	احترسى من إصابة مولودك بالصفراء الفسيولوجية والمرضية؟	['إصابة']
3645	300-4 Social Sciences	استشارية: إصابة الطلاب بفيروس الكورونا واردة	['إصابة']
3647	300-4 Social Sciences	استنفار 500 سيارة إسعاف 2856 إصابة ربو في المنطقة الشرقية	['إصابة']
3649	300-4 Social Sciences	اشتباه إصابة 100 ألف رأس ماشية بالحمى القلاعية	['إصابة']
