م	Collective File Name	Context	Ambigous
3392	200-2 Religion _ A	إذا ارتفع النهار، فهو تنفس الصبح.	['ارتفع']
3558	300-4 Social Sciences	إشغال الفنادق ارتفع %5.9 في أول 8 أشهر من 2011	['ارتفع']
3554	300-4 Social Sciences	ارتفع الدولار فانخفض النفط لـ «115» دولارا	['ارتفع']
3556	300-4 Social Sciences	ارتفع سعر خام برنت والخام الامريكي في التعاملات الآجلة امس	['ارتفع']
3560	300-4 Social Sciences	نعم ارتفع الوعى لدى الناس, لكن تدنى المستوى ا	['ارتفع']
11260	400-3 Language _ A	اسلنطأ: ارتفع إلى الشيء ينظر إليه	['ارتفع']
11336	800-2 Literature & rhetoric _ A	آخر في صديق استطاب مجالسته: 	['استطاب']
3502	200-3 Religion _ A	القسم الأول ما استقل به الزوج وله صور: 	['استقل']
3564	300-4 Social Sciences	سلطات المطار: الطفل السوهاجى استقل قطارا خطأ ولم يختطف	['استقل']
3562	300-4 Social Sciences	الغنوشي: استقل يا المرزوقي ثم ترشح	['استقل']
11832	900-3 Geography & history _ A	استقل بالفائدة الجديدة، واستبدل بالآراء السديدة.	['استقل']
52	000-4 Generalities	قد استوى المأمور والآمـر فيها وأمسى العبـد كالسيـد	['استوى']
3566	300-4 Social Sciences	صاحبنا السيد وقد استوى على اعتدال بهي	['استوى']
54	000-4 Generalities	ظبي الفلا ناداه والجمل اشتكى والبدر شق فسل بذاك خبيرا	['اشتكى']
3570	300-4 Social Sciences	الضارى "اشتكى" لمبارك من حكومة المالكى	['اشتكى']
3568	300-4 Social Sciences	اشتكى من تأخر حمولته فاعتقل بتهمة تجارة المخدرات	['اشتكى']
11058	400-2 Language _ A	ويقال: التأم الفريقان والرجلان، إذا تصالحا واجتمعا؛ ومنه قول الأعشى: 	['التأم']
3572	300-4 Social Sciences	ديسكفري" التحم بالمحطة الفضائية و"ناسا" علقت رحلاتها	['التحم']
11064	400-2 Language _ A	وقال الأصمعي: أجشت الأرض وأبشت إذا التف نبتها.	['التف']
11060	400-2 Language _ A	واجثال النبات إذا التف وطال وغلظ.	['التف']
11062	400-2 Language _ A	وتكوثر النقع والعجاج: التف بعضه على بعض. والكوثر: العجاج والغبار.	['التف']
11338	800-2 Literature & rhetoric _ A	العازب الكلأ الذي لم يرع وقد التف نبته	['التف']
3574	300-4 Social Sciences	20 منزلا متضررة امتنع أصحابها عن الإخلاء	['امتنع']
3576	300-4 Social Sciences	امتنع المندوب وتعطلت المعاملات بأمانة الدمام	['امتنع']
11610	800-3 Literature & rhetoric _ A	من أعدائها: وأعداء الممالك من انفرد بملك أو امتنع بقوة.	['امتنع']
11834	900-3 Geography & history _ A	قلت: ثم إنه امتنع من روايته.	['امتنع']
56	000-4 Generalities	بني عقبة انبثق منها بطون عديدة منها	['انبثق']
3578	300-4 Social Sciences	منذ أن انبثق نور الإسلام	['انبثق']
11836	900-3 Geography & history _ A	فانتظروا ساعة، فلما انبسط الفجر قالا للخادم: أيقظه.	['انبسط']
3394	200-2 Religion _ A	يقال حبج يحبج حبجا إذا انتفخ بطنه عن بشم	['انتفخ']
58	000-4 Generalities	حوزة الإمام أمير المؤمنين الدينية، ثم انقطع عن التدريس عنها.	['انقطع']
3582	300-4 Social Sciences	تخيل لو: انقطع الأرز عن المائدة الكويتية	['انقطع']
3580	300-4 Social Sciences	انقطع التيار الكهربائي فأنعش الاطباء مرضاهم يدويا	['انقطع']
11676	900-2 Geography & history _ A	رجع الحديث إلى حيث انقطع.	['انقطع']
3586	300-4 Social Sciences	الدار العقارية" تعلن إغلاق صكوك إجارة بقيمة 75.3 مليار درهم	['إجارة']
3584	300-4 Social Sciences	«التطوير السياحي» تطرح «صكوك إجارة» بقيمة 3.67 مليار درهم	['إجارة']
60	000-4 Generalities	1- إجازة في هندسة البرمجيات ونظم المعلومات	['إجازة']
62	000-4 Generalities	72 – 1976م (بجامعة صنعاء) والحصول على إجازة (ليسانس آداب).	['إجازة']
64	000-4 Generalities	إجازة في علوم اللغة العربية وآدابها 1956 م.	['إجازة']
66	000-4 Generalities	إجازة في هندسة المعلوماتية من فرنسا	['إجازة']
3396	200-2 Religion _ A	فهذه إجازة فاسدة لا فائدة لها.	['إجازة']
3588	300-4 Social Sciences	“ساعد” تخطط 3368 حادثا خلال إجازة عيد الأضحى واليوم الوطني	['إجازة']
3590	300-4 Social Sciences	3" أيام إجازة العيد بالأهلي	['إجازة']
3614	300-4 Social Sciences	الزراعة" تبدأ استصلاح 21 ألف فدان بسيناء عقب إجازة العيد	['إجازة']
3610	300-4 Social Sciences	الجنزورى" إجازة غدا بعد 128 يوما من العمل المتواصل	['إجازة']
3608	300-4 Social Sciences	الجبالى" يمنح "حماد" إجازة مفتوحة ويولى مهامه لـ"الديسك المركزى"	['إجازة']
3636	300-4 Social Sciences	غرفة البحرين: إجازة العيد الطويلة تكبد الاقتصاد الوطني خسائر كبيرة	['إجازة']
3634	300-4 Social Sciences	بيغ بن" في إجازة اضطرارية!!	['إجازة']
3592	300-4 Social Sciences	CNNArabic.com - BT تعرض إجازة طويلة وخفض رواتب موظفيها	['إجازة']
3626	300-4 Social Sciences	انضباط وسلبيات في دوائر الشرقية عقب العودة من إجازة العيد	['إجازة']
3606	300-4 Social Sciences	التعليم" تمنح إجازة لمدارس محافظات المرحلة الأولى للانتخابات 28 نوفمبر	['إجازة']
3632	300-4 Social Sciences	إيمان البحر درويش في إجازة من الغناء	['إجازة']
3612	300-4 Social Sciences	الجيزة" تقرر إجازة انتخابات الإعادة تشمل جميع المدارس	['إجازة']
3600	300-4 Social Sciences	استمارات الثانوية العامة بعد إجازة نصف العام	['إجازة']
3630	300-4 Social Sciences	إدريس يعتمد إجازة المرحلة الابتدائية في محايل عسير	['إجازة']
3622	300-4 Social Sciences	القوى العاملة": الأربعاء والخميس ليسا إجازة رسمية للقطاع الخاص	['إجازة']
3628	300-4 Social Sciences	إجازة أمومة لتلميذات المدارس؟	['إجازة']
3594	300-4 Social Sciences	ابنتي طريحة الفراش وبحاجة إلى إجازة دراسية	['إجازة']
3596	300-4 Social Sciences	ادفع 150 دينارا تحصل على إجازة الحج	['إجازة']
3616	300-4 Social Sciences	السعودية" تنقل نصف مليون مسافر خلال إجازة الربيع	['إجازة']
3602	300-4 Social Sciences	الأسر السعودية" تحت رحمة شركات السياحة خلال إجازة الصيف!	['إجازة']
3624	300-4 Social Sciences	المعلمين" تفصل طالبين لتزويرهما "إجازة"	['إجازة']
3598	300-4 Social Sciences	استحقاق الضابط والفرد إجازة مرضية "12 شهرا" بالراتب الفعلي	['إجازة']
3620	300-4 Social Sciences	القضاء" يرفض إدراج عيد القيامة إجازة رسمية	['إجازة']
3618	300-4 Social Sciences	العمل" يؤكد استمرار القطاع الخاص على إجازة يوم الجمعة	['إجازة']
3604	300-4 Social Sciences	البيت بيتك" إجازة لمدة أسبوعين	['إجازة']
11262	400-3 Language _ A	وأنشدني إجازة لنفسه الشيخ صفي الدين عبد العزيز الحلي: 	['إجازة']
11340	800-2 Literature & rhetoric _ A	قلت لها: فما عندك في إجازة هذا البيت: 	['إجازة']
11840	900-3 Geography & history _ A	أنشدني إجازة لنفسه الشيخ علاء الدين علي بن غانم: 	['إجازة']
11838	900-3 Geography & history _ A	الخبر عن انتقاض الطاغية و إجازة السلطان لغزوه	['إجازة']
68	000-4 Generalities	1- حالات إصابة البشر بإنفلونزا الطيور	['إصابة']
70	000-4 Generalities	2- إصابة الأم بالتهابات فيروسية أثناء الحمل.	['إصابة']
72	000-4 Generalities	6- يمكنه إصابة الأهداف المتفرقة على الأرض ومدارج المطارات وغيرها.	['إصابة']
74	000-4 Generalities	اعتزل اللعب مبكرا نتيجة إصابة وتوجه نحو التدريب	['إصابة']
76	000-4 Generalities	الولايات المتحدة أول إصابة مزدوجة مؤكدة في ولاية فرجينيا الغربية.	['إصابة']
3692	300-4 Social Sciences	القاعدة يتبنى إصابة فرنسيين وإيطالي في الجزائر	['إصابة']
